,Title,Artist,Top100,URI,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time_Signature
13252,Kick the Dust Up,Luke Bryan,1,5g15o2Sm55Hn9ShK5yEXgp,0.597,0.86,1,-2.315,1,0.0461,0.196,0,0.087,0.818,172.064,190587,4
13253,Blessings,Big Sean,1,1bzM1cd6oqFozdr4wK6HdR,0.79,0.621,1,-7.634,1,0.275,0.33,0,0.122,0.15,118.896,252040,4
13254,Budapest,George Ezra,1,7q0aQpiLv5tIsupcgQ3Ny4,0.717,0.455,5,-8.303,1,0.0276,0.0846,0,0.11,0.389,127.81,200733,4
13255,Heartbeat Song,Kelly Clarkson,1,7FC9Lng8iXU081lbigu8m8,0.49,0.798,6,-3.66,1,0.0489,0.0137,0,0.0627,0.479,149.109,198733,4
13256,Ghost,Ella Henderson,1,4z7gh3aIZV9arbL9jJSc5J,0.68,0.84,9,-3.823,1,0.0415,0.0457,8.38E-06,0.143,0.468,104.985,213213,4
13257,Here,Alessia Cara,1,1wYZZtamWTQAoj8B812uKQ,0.376,0.821,0,-3.974,1,0.104,0.0785,0,0.0823,0.331,120.462,199453,4
13258,Waves,Mr Probz,1,5Sf3GyLEAzJXxZ5mbCPXTu,0.829,0.51,5,-9.334,0,0.0369,0.00821,0.0014,0.0829,0.45,119.993,208133,4
13259,El Perdón,Nicky Jam and Enrique Iglesias,1,6EYwUarLDfsZ0BMD3IYETF,0.608,0.628,8,-6.968,1,0.106,0.212,0,0.0727,0.587,180.163,210756,4
13260,She Knows,Ne-Yo,1,7seTcUFOhn5caSDbiSfsp0,0.706,0.572,8,-5.799,0,0.0326,0.0262,0,0.585,0.574,139.982,214726,4
13261,Night Changes,One Direction,1,5O2P9iiztwhomNh8xkR9lJ,0.672,0.52,8,-7.747,1,0.0353,0.859,0,0.115,0.37,120.001,226600,4
13262,Back to Back,Drake,1,5lFDtgWsjRJu8fPOAyJIAK,0.893,0.48,1,-3.728,0,0.356,0.00854,0,0.116,0.382,86.976,170638,4
13264,Love Yourself,Justin Bieber,1,7CzhIfOec1ehR2XQdYkg1l,0.473,0.403,5,-9.105,1,0.231,0.482,0,0.0749,0.459,97.945,213740,4
13265,One Dance,Drake,1,1zi7xx7UVEFkmKfv06H8x0,0.792,0.625,1,-5.609,1,0.0536,0.00776,0.00188,0.329,0.37,103.967,173987,4
13266,Work,Rihanna,1,72TFWvU3wUYdUuxejTTIzt,0.725,0.534,11,-6.238,1,0.0946,0.0752,0,0.0919,0.558,91.974,219320,4
13267,Stressed Out,Twenty One Pilots,1,3CRDbSIZ4r5MsZ0YwxuEkn,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29E-05,0.0602,0.648,169.977,202333,4
13268,Panda,Desiigner,1,275a9yzwGB6ncAW4SxY7q3,0.685,0.731,10,-5.503,0,0.414,0.0292,0,0.369,0.266,145.245,247867,4
13269,Don't Let Me Down,The Chainsmokers,1,1i1fxkWeaMmKEB4T7zqbzK,0.532,0.869,11,-5.094,1,0.172,0.157,0.00508,0.136,0.422,159.803,208373,4
13270,Can't Stop the Feeling!,Justin Timberlake,1,1WkMMavIMc4JZ8cfMmxHkI,0.669,0.832,0,-5.72,1,0.0682,0.0106,0,0.0968,0.7,113.035,237547,4
13271,Cheap Thrills,Sia,1,3S4px9f4lceWdKf0gWciFu,0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,211667,4
13272,7 Years,Lukas Graham,1,5kqIPrATaCc2LqxVWzQGbk,0.765,0.473,10,-5.829,1,0.0514,0.287,0,0.391,0.34,119.992,237300,4
13273,Needed Me,Rihanna,1,4pAl7FkDMNBsjykPXo91B3,0.671,0.314,5,-8.091,0,0.244,0.11,0,0.0825,0.296,110.898,191600,4
13274,My House,Flo Rida,1,6Knv6wdA0luoMUuuoYi2i1,0.688,0.702,7,-4.792,0,0.0499,0.0215,0,0.128,0.74,94.006,192191,4
13275,I Took a Pill in Ibiza,Mike Posner,1,1MtUq6Wp1eQ8PC6BbPCj8P,0.663,0.713,7,-6.647,0,0.112,0.0353,7.68E-06,0.0843,0.69,101.965,197933,4
