,Title,Artist,Top100,URI
155,Amigo,Roberto Carlos,0,4CKIoO64EM5M37TkshbaQE
156,The Girl From Ipanema - Stereo Version,Stan Getz,0,6QosvdCXkccY4f85tMnxON
157,Oye Mi Amor,Maná,0,5EJ2THuhAapEIeQOtXUQ0x
158,Latinoamérica,Calle 13,0,1xuYajTJZh8zZrPRmUaagf
159,"Soy un Truhán, Soy un Señor",Julio Iglesias,0,07nrFSbS6ht0jMNpTpMfsg
160,Mediterraneo,Joan Manuel Serrat,0,7Bewui7KtaMzROeteRitRz
161,Gracias a la Vida,Violeta Parra,0,5U7MyRNbuZrWkyAI4bm3Ja
162,La Cumparsita,Gerardo Matos Rodriguez,0,6tJ0zwyKkJ9pWXN0XWqLqY
163,Paloma negra,Lola Beltrán,0,7cOZAzuSGF7y4pNX35B7yq
164,El Rey,José Alfredo Jimenez,0,4ihZFukyNotzCUtxI4qpu8
165,Feliz Navidad,José Feliciano,0,0oPdaY4dXtc3ZsaG17V972
166,All Along the Watchtower,Jimi Hendrix,0,2aoo2jlRnM3A0NyLQqMN2f
167,My Generation - Stereo Version,The Who,0,4u9f8hqstB7iITDJNzKhQx
168,(I Can't Get No) Satisfaction,The Rolling Stones,0,2PzU4IB8Dr6mxV3lHuaG34
169,"Hello, I Love You",The Doors,0,3bWGaqVeYKMlLss40mPgNn
170,Whole Lotta Love,Led Zeppelin,0,0hCB0YR03f6AmQaHbwWDe8
171,Hey Jude - Remastered 2015,The Beatles,0,0aym2LBJBk9DAYuHHutrIl
172,White Room,Cream,0,3Xls4cNOwy01dtrNXb1inG
173,You Really Got Me - Mono Mix,The Kinks,0,29SyMC0plk6qw8NMF7lfRL
174,Surfin' U.S.A. - Remastered,The Beach Boys,0,0wz1LjDb9ZNEYwOmDJ3Q4b
175,"Oh, Pretty Woman",Roy Orbison,0,48i055G1OT5KxGGftwFxWy
176,Back In The U.S.S.R. - 2018 Mix,The Beatles,0,183Klch3PBWLz2S6zNUVxR
177,For What It's Worth,Buffalo Springfield,0,1qRA5BS78u3gME0loMl9AA
178,Fortunate Son,Creedence Clearwater Revival,0,4BP3uh0hFLFRb5cjsgLqDh
179,Born To Be Wild - Single Version,Steppenwolf,0,3lN8PP6R2IxbLP05QpYXng
180,House Of The Rising Sun,The Animals,0,7BY005dacJkbO6EPiOh2wb
181,Louie Louie,The Kingsmen,0,0iA3xXSkSCiJywKyo1UKjQ
182,Crimson And Clover - Single Version,Tommy James & The Shondells,0,1vXuYPpkLjn1v06E2EsWQY
183,Evil Ways,Santana,0,5tmrnhMxx39jnu3kjopMdP
184,Purple Haze,Jimi Hendrix,0,0wJoRiX5K5BxlqZTolB2LD
185,California Dreamin' - Single Version,The Mamas & The Papas,0,4s6LhHAV5SEsOV0lC2tjvJ
186,Like a Rolling Stone,Bob Dylan,0,3AhXZa8sUQht0UEdBJgpGc
187,Suite: Judy Blue Eyes - Remastered,"Crosby, Stills & Nash",0,2PuUFT13yCzUOZun94WOXv
188,Turn! Turn! Turn! (To Everything There Is a Season),The Byrds,0,5qBqBdfTEIWJwAS0Jm2F5R
189,I Saw Her Standing There - Remastered 2009,The Beatles,0,3KiexfmhxHvG5IgAElmTkd
190,Light My Fire,The Doors,0,5uvosCdMlFdTXhoazkTI5R
191,Pinball Wizard,The Who,0,6LbbHFEajG9e4m0G3L47c4
192,The Sounds of Silence,Simon & Garfunkel,0,2YplrdHMBoRdnHgMeHEwHm
193,Green Onions,Booker T. & the M.G.'s,0,4fQMGlCawbTkH9yPPZ49kP
194,Sweet Caroline - Single Version,Neil Diamond,0,7waQASGjvaRBw6jyX3gVZ0
195,Good Lovin' - Single Version,The Young Rascals,0,0XnhQGfqfi5CnZXcONJuI5
196,The Twist,Chubby Checker,0,3ohLnESFgYACPMCkoTOzqE
197,Sunshine Of Your Love,Cream,0,2K2M0TcglCRLLpFOzKeFZA
198,Hit the Road Jack,Ray Charles,0,1bKwdIIlTGF7wVtRWPgTNH
199,Proud Mary,Creedence Clearwater Revival,0,2EZc13S7YRi6bTS3SKteRN
200,Dazed And Confused,Led Zeppelin,0,6hu1f1cXSw7OAqhpSQ2zDy
201,Summertime Blues,Blue Cheer,0,6iWaf45YIhj0YT8GFGxsw0
202,I Want To Hold Your Hand - Remastered 2015,The Beatles,0,4pbG9SUmWIvsROVLF0zF9s
203,Runaround Sue,Dion,0,1DndHckdH9m5rp6gYP086b
204,All Day and All of the Night - 2014 Remastered Version,The Kinks,0,4rXSVEYOuJNicjAm3NiYK6
205,River Deep - Mountain High,Ike & Tina Turner,0,19jo0UT2vqD4pNVfIqTy4R
206,Summer in the City - Remastered,The Lovin' Spoonful,0,7AzFID6u1b3zIWbd9pb8Dk
207,Jumpin' Jack Flash - Mono / Remastered,The Rolling Stones,0,55LRDFmsuazr533WrtHHW9
208,Foxey Lady,Jimi Hendrix,0,23MrkN7g6Q5U7GLIxNHN1B
209,Somebody to Love,Jefferson Airplane,0,4uGIJG1jYFonGc4LGp5uQL
210,Time Has Come Today,The Chambers Brothers,0,5qA1ZrjjVLh1cL9GZOFdNm
211,Heart Full of Soul,The Yardbirds,0,0AiuEo7FCxP2y2WTOpLPe5
212,Do You Believe in Magic?,The Lovin' Spoonful,0,1udKn1oNKYQSQ9OmiIWCMu
213,"Paint It, Black - Mono",The Rolling Stones,0,7lY8aoN3wUR3NY4nUwigPv
214,Good Vibrations - Remastered,The Beach Boys,0,5t9KYe0Fhd5cW6UYT4qP8f
215,Psychotic Reaction,Count Five,0,5JcaA4A9ZoXthwEnxOxWvP
216,Yesterday - Remastered 2009,The Beatles,0,3BQHpFgAp4l80e1XslIjNI
217,Nights In White Satin - Single Version / Mono Mix,The Moody Blues,0,6L5BZEcZmD6RBJnimzlyKr
218,Magic Carpet Ride,Steppenwolf,0,4c4jJJoaiY21t2TyRZgdWS
219,Needles and Pins - Mono,The Searchers,0,0zABw1PtGYHsU4VDpDZsra
220,The Weight - Remastered,The Band,0,0P7DoyGrr4Wp9w5TotEtUC
221,Bring It On Home to Me,Sam Cooke,0,0WVTQp3SOCuMr08jh1jweV
222,Bad Moon Rising,Creedence Clearwater Revival,0,20OFwXhEXf12DzwXmaV7fj
223,Crying,Roy Orbison,0,6eLL7QTdMWdhhG4i3jHDR9
224,Revolution - Remastered,The Beatles,0,3UDmHZcBTQp8Iu8droNtUl
225,Shop Around,The Miracles,0,47IRIQxGDe2Sc6F4pe2FMf
226,I Fought The Law,The Bobby Fuller Four,0,6Um3XCAxl9YfFmAnGl93xc
227,The Times They Are A-Changin',Bob Dylan,0,52vA3CYKZqZVdQnzRrdZt6
228,Honky Tonk Women,The Rolling Stones,0,3RZMzCvYsmJ0u2ioKTOsmJ
229,She Loves You - Mono / Remastered,The Beatles,0,6nEkxYIEnrbYH7h1hJ8Xn6
230,Heartbreaker,Led Zeppelin,0,6WE7jSshLCuVKoCmobVKVf
231,Brown Eyed Girl,Van Morrison,0,3yrSvpt2l1xhsV9Em88Pul
232,Gimme Shelter,The Rolling Stones,0,6H3kDe7CGoWYBabAeVWGiD
233,Touch Me,The Doors,0,2DFjWTatPh3spBAdciJRh6
234,Surf City - Remastered 1990 / Stereo Remix,Jan & Dean,0,4ZzXPeOfMXk0iKNQGdlzDq
235,White Rabbit,Jefferson Airplane,0,4vpeKl0vMGdAXpZiQB2Dtd
236,Green River,Creedence Clearwater Revival,0,20OFwXhEXf12DzwXmaV7fj
237,I Get Around (Mono) - Mono,The Beach Boys,0,3v9xlH6BpmRbqL7hgNJhfT
238,Mr. Tambourine Man,The Byrds,0,2HCaIYjkvWSZzaSKUoOh3d
239,With A Little Help From My Friends - Remastered 2009,The Beatles,0,2RnPATK99oGOZygnD2GTO6
240,For Your Love,The Yardbirds,0,5bC4y9Zhn6ng0MOzACCHkc
241,Street Fighting Man,The Rolling Stones,0,7EXgO1bRnEArE58rtrgMWB
242,Blowin' In the Wind,Bob Dylan,0,18GiV1BaXzPVYpp9rmOg0E
243,In My Room - Remastered,The Beach Boys,0,62fX8EW16l8St2yL8rMer9
244,I'm A Man,The Spencer Davis Group,0,1oXq63OUf43LDnNPVtfvX8
245,Gloria - Stereo Version,Them,0,1DKyFVzIh1oa1fFnEmTkIl
246,Itchycoo Park,Small Faces,0,5H0laZ62yDUPuKvHef8niK
247,Wild Thing,The Troggs,0,7jGzYUZ2Bgg8BDfYlQRfn8
248,Care Of Cell 44,The Zombies,0,5QXqz1KDz8Z8DmfQoxWmmy
249,See Emily Play - 2016 Remastered Version,Pink Floyd,0,5JubSv0sa8CKjAslCSH27S
250,Alone Again Or - 2015 Remastered Version,Love,0,1XuccRABkfUVB4FjSVhjL1
251,Psychotic Reaction - Rarities Version,Count Five,0,77oq56JTlEBzAH7KNZHvx1
252,Slip Inside This House - Stereo LP Version,The 13th Floor Elevators,0,4GVRHAwABAV0v63YX9Go0p
253,I Had Too Much To Dream (Last Night),The Electric Prunes,0,5YgCmkSdGukXqK3fJlX4pQ
254,96 Tears,? & The Mysterians,0,4PEeZ2U4UfP2Jo8EtIOjus
255,Have Love Will Travel,The Sonics,0,2uXkW8uJcOIhlbUatEPLPs
256,Kick out the Jams,MC5,0,1cLfXnBwTFuRngRZfQeLof
257,I Hate You,The Monks,0,3XrPNRdFbGZESTGPte23dD
258,I Wanna Be Your Dog,The Stooges,0,672N8DGGTOLCOgWe0koX5g
259,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground,0,7hrJgdNzMHlKxEorMLrPcD
260,Eight Miles High,The Byrds,0,2BGNomqCxEDcXyxf8bg27k
261,Wipe Out,The Surfaris,0,4anUinKv803lyDD1vaSXhU
262,More Than Words,Extreme,0,1gVgkQFOKa8Wc1HYsJtPdH
263,Free Fallin',Tom Petty,0,5tVA6TkbaAH9QMITTQRrNv
264,Lean on Me,Bill Withers,0,3M8FzayQWtkvOhqMn2V4T2
265,Fast Car,Tracy Chapman,0,2M9ro2krNb7nr7HSprkEgo
266,You're So Vain,Carly Simon,0,2DnJjbjNTV9Nd5NOa1KGba
267,Dust in the Wind,Kansas,0,6zeE5tKyr8Nu882DQhhSQI
268,Ooh La La,Faces,0,4lJ6YVXQ0jUk5ILu0PSrA4
269,You've Got A Friend,James Taylor,0,6zV8IpLvw0tkRSVCFQJB1y
270,Redemption Song,Bob Marley & The Wailers,0,26PwuMotZqcczKLHi4Htz3
271,Crazy Love,Van Morrison,0,2hjAc6x8EoSLhGxRNg8KEw
272,I'm on Fire,Bruce Springsteen,0,3PzsbWSQdLCKDLxn7YZfkM
273,Heart Of Gold,Neil Young,0,1InEE4O5225Pp7oy5lGBmR
274,Wildflowers - Remastered,Dolly Parton,0,27876bQcDNkZhWqvF0zfFN
275,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,0,3gdewACMIVMEWVbyb8O9sY
